Nome;Sobrenome;NomeCompleto;NomeUsuario;Email;Senha;Administrador;CPF;Telefone;RazaoSocial;CNPJ;Endereco;NumeroEndereco;Cidade;Estado;CEP;Pais;NumeroCartao;ValidadeCartao;NomeProduto;Preco;DescricaoProduto;Quantidade;NomeCategoria;DescricaoCategoria;TituloArtigo;ConteudoArtigo;NomeAutor;DataPublicacao
="Mateo";="Klocko";="Mateo Klocko";="mateo.klocko";="klocko.mateo@terra.com.br";="KloMa55";="true";="25571595655";="17867701838";="Mateo Klocko LTDA";="11863180000151";="Candice Gateway";="3779";="Port Chauncey";="Nevada";="06546579";="Jordan";="4929820987732220";="10/25";="Placa de Video Resistente";="3877.11";="Um excelente placa de video resistente da categoria Hardware, ideal para suas necessidades.";="64";="Hardware";="Descricao para a categoria Hardware";="O Futuro do Inteligencia Artificial";="Este e um artigo sobre O Futuro do Inteligencia Artificial. O foco principal e em Inteligencia Artificial no campo da Tecnologia.";="Mateo Klocko";="2025-08-15T19:38:12.852Z"
="Gina";="Medhurst";="Gina Medhurst";="gina.medhurst";="medhurst.gina@hotmail.com";="MedGi40";="true";="57257614440";="16298361513";="Gina Medhurst LTDA";="50152571000110";="Littel Estates";="54900";="East Kimberly";="Montana";="52893568";="Iraq";="4916456876281121";="05/26";="Fone de Ouvido Essencial";="1969.48";="Um excelente fone de ouvido essencial da categoria Games, ideal para suas necessidades.";="27";="Games";="Descricao para a categoria Games";="Solucoes Sustentaveis para Poluicao Plastica";="Este e um artigo sobre Solucoes Sustentaveis para Poluicao Plastica. O foco principal e em Poluicao Plastica no campo da Meio Ambiente.";="Gina Medhurst";="2025-08-15T19:38:13.813Z"
="Shanny";="Dickens";="Shanny Dickens";="shanny.dickens";="dickens.shanny@aol.com";="DicSh44";="true";="40152449744";="18035069427";="Shanny Dickens LTDA";="34032676000189";="Jonas View";="6695";="East Maggieshire";="District of Columbia";="60635028";="Venezuela";="4532785412631595";="05/26";="Drone Ultra-fino";="4257.03";="Um excelente drone ultra-fino da categoria Audio e Video, ideal para suas necessidades.";="49";="Audio e Video";="Descricao para a categoria Audio e Video";="Solucoes Sustentaveis para Energias Renovaveis";="Introducao ao topico Solucoes Sustentaveis para Energias Renovaveis. Discutimos os conceitos basicos de Energias Renovaveis aplicados a Meio Ambiente.";="Shanny Dickens";="2025-08-15T19:38:14.896Z"
="Carson";="Smith";="Carson Smith";="carson.smith";="smith.carson@protonmail.com";="SmiCa45";="true";="95872968345";="19547490576";="Carson Smith LTDA";="61575907000173";="Theodora Meadows";="559";="Rainamouth";="Pennsylvania";="76490915";="Ecuador";="2720313789766302";="05/28";="Cooler CPU Ultra-fino";="1532.65";="Um excelente cooler cpu ultra-fino da categoria Energia, ideal para suas necessidades.";="94";="Energia";="Descricao para a categoria Energia";="Analise Tatica do Formula 1";="Este e um artigo sobre Analise Tatica do Formula 1. O foco principal e em Formula 1 no campo da Esportes.";="Carson Smith";="2025-08-15T19:38:15.851Z"
="Rae";="Kerluke";="Rae Kerluke";="rae.kerluke";="kerluke.rae@me.com";="KerRa70";="true";="13508282970";="17206309364";="Rae Kerluke LTDA";="88427188000108";="Vinnie Ville";="20723";="Walterview";="Nevada";="15998937";="Malta";="4532400652652414";="05/28";="Memoria RAM Potente";="2206.11";="Um excelente memoria ram potente da categoria Audio e Video, ideal para suas necessidades.";="19";="Audio e Video";="Descricao para a categoria Audio e Video";="Como Computacao Quantica Esta Moldando o Mundo";="Este e um artigo sobre Como Computacao Quantica Esta Moldando o Mundo. O foco principal e em Computacao Quantica no campo da Tecnologia.";="Rae Kerluke";="2025-08-15T19:38:16.832Z"
="Ivah";="Hagenes";="Ivah Hagenes";="ivah.hagenes";="hagenes.ivah@zoho.com";="HagIv83";="true";="35138206583";="14707916680";="Ivah Hagenes LTDA";="91497968000120";="Minerva Expressway";="456";="New Neva";="Kentucky";="01884518";="Egypt";="4539649224460960";="07/27";="Mouse Gamer Ergonomica";="376.71";="Um excelente mouse gamer ergonomica da categoria Hardware, ideal para suas necessidades.";="72";="Hardware";="Descricao para a categoria Hardware";="Segredos da Culinaria com Cozinha Italiana";="Uma analise sobre o tema Segredos da Culinaria com Cozinha Italiana. Exploramos a relevancia de Cozinha Italiana para a area de Gastronomia e Culinaria.";="Ivah Hagenes";="2025-08-15T19:38:17.834Z"
="Reba";="Erdman";="Reba Erdman";="reba.erdman";="erdman.reba@yandex.com";="ErdRe68";="true";="87195461068";="15675307709";="Reba Erdman LTDA";="80131489000170";="Marks Manors";="72211";="Cliffordborough";="Maine";="88300458";="United Arab Emirates";="2686065585686157";="12/26";="Microfone Condensador Imersivo";="1716.76";="Um excelente microfone condensador imersivo da categoria Perifericos, ideal para suas necessidades.";="44";="Perifericos";="Descricao para a categoria Perifericos";="Solucoes Sustentaveis para Energias Renovaveis";="Introducao ao topico Solucoes Sustentaveis para Energias Renovaveis. Discutimos os conceitos basicos de Energias Renovaveis aplicados a Meio Ambiente.";="Reba Erdman";="2025-08-15T19:38:18.817Z"
="Francisca";="Bailey";="Francisca Bailey";="francisca.bailey";="bailey.francisca@ig.com.br";="BaiFr21";="true";="28049997421";="12206572925";="Francisca Bailey LTDA";="29451956000191";="Zboncak Overpass";="520";="Lake Malika";="West Virginia";="54864807";="Brazil";="6011140441173687";="02/28";="Webcam Full HD Veloz";="2931.23";="Um excelente webcam full hd veloz da categoria Impressao, ideal para suas necessidades.";="51";="Impressao";="Descricao para a categoria Impressao";="Porque Aprender JavaScript";="Introducao ao topico Porque Aprender JavaScript. Discutimos os conceitos basicos de JavaScript aplicados a Programacao.";="Francisca Bailey";="2025-08-15T19:38:19.849Z"
="Mable";="Lowe";="Mable Lowe";="mable.lowe";="lowe.mable@bol.com.br";="LowMa93";="true";="55644914593";="19542886693";="Mable Lowe LTDA";="58600038000185";="Ryan Corner";="2356";="Winnifredshire";="Delaware";="50029496";="Mauritius";="5554670175282424";="01/27";="Mesa Digitalizadora Imersivo";="4461.21";="Um excelente mesa digitalizadora imersivo da categoria Audio e Video, ideal para suas necessidades.";="90";="Audio e Video";="Descricao para a categoria Audio e Video";="A Receita Perfeita de Comida Vegana";="Introducao ao topico A Receita Perfeita de Comida Vegana. Discutimos os conceitos basicos de Comida Vegana aplicados a Gastronomia e Culinaria.";="Mable Lowe";="2025-08-15T19:38:20.837Z"
="Johanna";="Jakubowski";="Johanna Jakubowski";="johanna.jakubowski";="jakubowski.johanna@gmx.com";="JakJo97";="true";="88386393297";="19736357119";="Johanna Jakubowski LTDA";="36169218000111";="Windler Way";="91286";="Port Marieview";="Alaska";="65138358";="French Southern Territories";="4485392543515313";="01/26";="Soundbar Resistente";="2071.76";="Um excelente soundbar resistente da categoria Perifericos, ideal para suas necessidades.";="47";="Perifericos";="Descricao para a categoria Perifericos";="O Papel da Gamificacao";="Introducao ao topico O Papel da Gamificacao. Discutimos os conceitos basicos de Gamificacao aplicados a Educacao.";="Johanna Jakubowski";="2025-08-15T19:38:21.802Z"
="Jena";="Brown";="Jena Brown";="jena.brown";="brown.jena@live.com";="BroJe85";="true";="61707445885";="13649022397";="Jena Brown LTDA";="79038993000140";="Valentin Orchard";="9016";="Port Matilde";="Massachusetts";="00131240";="Ireland";="2504019209645677";="01/26";="Roteador Wi-Fi 6 Veloz";="4105.20";="Um excelente roteador wi-fi 6 veloz da categoria Fotografia, ideal para suas necessidades.";="87";="Fotografia";="Descricao para a categoria Fotografia";="A Revolucao da Robotica Educacional na Sala de Aula";="Introducao ao topico A Revolucao da Robotica Educacional na Sala de Aula. Discutimos os conceitos basicos de Robotica Educacional aplicados a Educacao.";="Jena Brown";="2025-08-15T19:38:22.782Z"
="Nola";="Boyer";="Nola Boyer";="nola.boyer";="boyer.nola@hotmail.com";="BoyNo90";="true";="32293212190";="15407532123";="Nola Boyer LTDA";="58670875000180";="Rippin Shoals";="53504";="West Magdalenaside";="California";="31621168";="Cambodia";="349110827042604";="11/25";="Microfone Condensador Veloz";="2331.19";="Um excelente microfone condensador veloz da categoria Hardware, ideal para suas necessidades.";="2";="Hardware";="Descricao para a categoria Hardware";="O Futuro do Computacao Quantica";="Uma analise sobre o tema O Futuro do Computacao Quantica. Exploramos a relevancia de Computacao Quantica para a area de Tecnologia.";="Nola Boyer";="2025-08-15T19:38:23.763Z"
="Noah";="Tillman";="Noah Tillman";="noah.tillman";="tillman.noah@bol.com.br";="TilNo22";="true";="20789683822";="12694292160";="Noah Tillman LTDA";="34531756000189";="Jerde Mall";="39004";="Cummerataburgh";="Delaware";="34727039";="Mongolia";="4024007136419107";="03/27";="Placa de Video Premium";="1374.12";="Um excelente placa de video premium da categoria Impressao, ideal para suas necessidades.";="91";="Impressao";="Descricao para a categoria Impressao";="Os Maiores Momentos do Basquete da NBA";="Introducao ao topico Os Maiores Momentos do Basquete da NBA. Discutimos os conceitos basicos de Basquete da NBA aplicados a Esportes.";="Noah Tillman";="2025-08-15T19:38:24.878Z"
="Candida";="Wiegand";="Candida Wiegand";="candida.wiegand";="wiegand.candida@aol.com";="WieCa88";="true";="13682786988";="15407292564";="Candida Wiegand LTDA";="17177295000179";="Chaya Drives";="4235";="Nolanville";="Delaware";="41768620";="Malta";="4485729706493517";="12/26";="Tablet Customizavel";="4074.73";="Um excelente tablet customizavel da categoria Impressao, ideal para suas necessidades.";="35";="Impressao";="Descricao para a categoria Impressao";="A Carreira Lendaria de Formula 1";="Introducao ao topico A Carreira Lendaria de Formula 1. Discutimos os conceitos basicos de Formula 1 aplicados a Esportes.";="Candida Wiegand";="2025-08-15T19:38:25.864Z"
="Yasmin";="Pollich";="Yasmin Pollich";="yasmin.pollich";="pollich.yasmin@terra.com.br";="PolYa04";="true";="31770924604";="16696764013";="Yasmin Pollich LTDA";="10002989000126";="Teresa Glen";="52486";="Kyrachester";="Kansas";="46235267";="Seychelles";="5435478340681305";="11/26";="Oculos de Realidade Virtual Ergonomica";="748.35";="Um excelente oculos de realidade virtual ergonomica da categoria Redes e Conectividade, ideal para suas necessidades.";="74";="Redes e Conectividade";="Descricao para a categoria Redes e Conectividade";="Como Teoria da Relatividade Explica o Cotidiano";="Uma analise sobre o tema Como Teoria da Relatividade Explica o Cotidiano. Exploramos a relevancia de Teoria da Relatividade para a area de Ciencia e Fisica.";="Yasmin Pollich";="2025-08-15T19:38:26.833Z"
="Lauretta";="Stroman";="Lauretta Stroman";="lauretta.stroman";="stroman.lauretta@live.com";="StrLa40";="true";="21616320940";="14589033524";="Lauretta Stroman LTDA";="37954426000194";="Eleonore Mountain";="53101";="Port Cleta";="Virginia";="27083419";="Ethiopia";="5215355287559957";="01/27";="Teclado Mecanico Versatil";="3472.35";="Um excelente teclado mecanico versatil da categoria Games, ideal para suas necessidades.";="95";="Games";="Descricao para a categoria Games";="Analise Profunda de Industria dos Games";="Introducao ao topico Analise Profunda de Industria dos Games. Discutimos os conceitos basicos de Industria dos Games aplicados a Cultura Pop.";="Lauretta Stroman";="2025-08-15T19:38:27.871Z"
="Christy";="Price";="Christy Price";="christy.price";="price.christy@protonmail.com";="PriCh00";="true";="35177961400";="19543005421";="Christy Price LTDA";="74532326000104";="Ruecker Course";="51087";="Bogisichton";="Wyoming";="64512296";="Uganda";="371176616968136";="08/27";="Microfone Condensador Essencial";="4612.35";="Um excelente microfone condensador essencial da categoria Impressao, ideal para suas necessidades.";="44";="Impressao";="Descricao para a categoria Impressao";="Segredos da Culinaria com Churrasco Americano";="Introducao ao topico Segredos da Culinaria com Churrasco Americano. Discutimos os conceitos basicos de Churrasco Americano aplicados a Gastronomia e Culinaria.";="Christy Price";="2025-08-15T19:38:28.854Z"
="Kade";="Stiedemann";="Kade Stiedemann";="kade.stiedemann";="stiedemann.kade@yahoo.com";="StiKa09";="true";="71513689509";="16089834349";="Kade Stiedemann LTDA";="62917283000198";="Champlin Shoals";="153";="Hackettshire";="Georgia";="57556437";="Lesotho";="2333437706588702";="05/27";="Monitor 4K Sem Fio";="564.69";="Um excelente monitor 4k sem fio da categoria Eletronicos, ideal para suas necessidades.";="9";="Eletronicos";="Descricao para a categoria Eletronicos";="Alimentacao e Nutricao Funcional";="Este e um artigo sobre Alimentacao e Nutricao Funcional. O foco principal e em Nutricao Funcional no campo da Saude e Bem-Estar.";="Kade Stiedemann";="2025-08-15T19:38:29.820Z"
="Polly";="Macejkovic";="Polly Macejkovic";="polly.macejkovic";="macejkovic.polly@outlook.com";="MacPo80";="true";="64773857080";="19709294811";="Polly Macejkovic LTDA";="85555101000181";="Zetta Crossroad";="9903";="South Darrickstad";="Arizona";="84279368";="Rwanda";="2720159330139147";="03/26";="Fone de Ouvido Silencioso";="611.01";="Um excelente fone de ouvido silencioso da categoria Componentes, ideal para suas necessidades.";="43";="Componentes";="Descricao para a categoria Componentes";="Como Imperio Romano Mudou a Historia";="Este e um artigo sobre Como Imperio Romano Mudou a Historia. O foco principal e em Imperio Romano no campo da Historia.";="Polly Macejkovic";="2025-08-15T19:38:30.818Z"
="Percival";="Lynch";="Percival Lynch";="percival.lynch";="lynch.percival@gmx.com";="LynPe60";="true";="29019317660";="15309390704";="Percival Lynch LTDA";="27456665000160";="Lang Curve";="8603";="Fionaside";="Tennessee";="42756233";="Oman";="4556441308276118";="05/26";="Placa de Video Compacto";="1919.05";="Um excelente placa de video compacto da categoria Redes e Conectividade, ideal para suas necessidades.";="86";="Redes e Conectividade";="Descricao para a categoria Redes e Conectividade";="A Ascensao e Queda do Revolucao Industrial";="Introducao ao topico A Ascensao e Queda do Revolucao Industrial. Discutimos os conceitos basicos de Revolucao Industrial aplicados a Historia.";="Percival Lynch";="2025-08-15T19:38:31.831Z"
="Earnestine";="Buckridge";="Earnestine Buckridge";="earnestine.buckridge";="buckridge.earnestine@inbox.com";="BucEa08";="true";="27939615408";="14233473568";="Earnestine Buckridge LTDA";="40959350000102";="Nina Vista";="161";="North Zena";="Texas";="37680374";="Belize";="3589092608505129";="10/27";="Cadeira Gamer Essencial";="2725.58";="Um excelente cadeira gamer essencial da categoria Armazenamento, ideal para suas necessidades.";="14";="Armazenamento";="Descricao para a categoria Armazenamento";="A Historia da Vinhos Franceses";="Este e um artigo sobre A Historia da Vinhos Franceses. O foco principal e em Vinhos Franceses no campo da Gastronomia e Culinaria.";="Earnestine Buckridge";="2025-08-29T21:03:23.104Z"
="Sandra";="Gislason";="Sandra Gislason";="sandra.gislason";="gislason.sandra@terra.com.br";="GisSa02";="true";="05400712002";="12709459347";="Sandra Gislason LTDA";="75739690000102";="Funk Gateway";="21466";="Wuckertside";="Georgia";="78076911";="Eritrea";="4556825560068074";="04/27";="Monitor 4K Veloz";="4572.54";="Um excelente monitor 4k veloz da categoria Audio e Video, ideal para suas necessidades.";="27";="Audio e Video";="Descricao para a categoria Audio e Video";="Metodos Inovadores de Aprendizagem Hibrida";="Uma analise sobre o tema Metodos Inovadores de Aprendizagem Hibrida. Exploramos a relevancia de Aprendizagem Hibrida para a area de Educacao.";="Sandra Gislason";="2025-08-29T21:03:24.121Z"
="Nyasia";="Russel";="Nyasia Russel";="nyasia.russel";="russel.nyasia@yahoo.com";="RusNy05";="true";="47123666305";="13644094390";="Nyasia Russel LTDA";="14422113000190";="Bergstrom Meadows";="457";="South Murl";="Virginia";="13797951";="Moldova";="4485256766674471";="10/27";="Leitor de E-book Imersivo";="3731.16";="Um excelente leitor de e-book imersivo da categoria Energia, ideal para suas necessidades.";="83";="Energia";="Descricao para a categoria Energia";="Segredos da Culinaria com Comida Vegana";="Uma analise sobre o tema Segredos da Culinaria com Comida Vegana. Exploramos a relevancia de Comida Vegana para a area de Gastronomia e Culinaria.";="Nyasia Russel";="2025-08-29T21:03:25.169Z"
="Georgiana";="Nienow";="Georgiana Nienow";="georgiana.nienow";="nienow.georgiana@terra.com.br";="NieGe37";="true";="64701757837";="16204074922";="Georgiana Nienow LTDA";="76948600000148";="Beahan Via";="288";="Port Rigoberto";="Nevada";="26995692";="Bahrain";="3528255314040541";="04/26";="Tablet Imersivo";="3265.86";="Um excelente tablet imersivo da categoria Acessorios, ideal para suas necessidades.";="91";="Acessorios";="Descricao para a categoria Acessorios";="Como 5G Esta Moldando o Mundo";="Uma analise sobre o tema Como 5G Esta Moldando o Mundo. Exploramos a relevancia de 5G para a area de Tecnologia.";="Georgiana Nienow";="2025-08-29T21:03:26.295Z"
="Steve";="Windler";="Steve Windler";="steve.windler";="windler.steve@yahoo.com";="WinSt19";="true";="12611864519";="18106622255";="Steve Windler LTDA";="58347029000124";="Ondricka Loop";="22316";="Kiehnbury";="Texas";="03878776";="Morocco";="2580104519787786";="09/25";="Leitor de E-book RGB";="2452.33";="Um excelente leitor de e-book rgb da categoria Games, ideal para suas necessidades.";="100";="Games";="Descricao para a categoria Games";="Como 5G Esta Moldando o Mundo";="Este e um artigo sobre Como 5G Esta Moldando o Mundo. O foco principal e em 5G no campo da Tecnologia.";="Steve Windler";="2025-08-29T21:03:27.357Z"
="Isabel";="Doyle";="Isabel Doyle";="isabel.doyle";="doyle.isabel@gmx.com";="DoyIs76";="true";="14496884976";="16202172906";="Isabel Doyle LTDA";="24523330000120";="Howell Village";="117";="Turnerhaven";="Alabama";="32568616";="Morocco";="2449521573431376";="08/27";="Mesa Digitalizadora Veloz";="4693.96";="Um excelente mesa digitalizadora veloz da categoria Acessorios, ideal para suas necessidades.";="12";="Acessorios";="Descricao para a categoria Acessorios";="Porque Series de TV Continua Relevante";="Uma analise sobre o tema Porque Series de TV Continua Relevante. Exploramos a relevancia de Series de TV para a area de Cultura Pop.";="Isabel Doyle";="2025-08-29T21:03:28.560Z"
="Abagail";="Ullrich";="Abagail Ullrich";="abagail.ullrich";="ullrich.abagail@icloud.com";="UllAb69";="true";="66187542169";="17327290611";="Abagail Ullrich LTDA";="98367406000101";="Pfannerstill Hill";="981";="Lake Emanuelshire";="Maine";="00091205";="Reunion";="5211191603720864";="12/25";="Smartphone Silencioso";="2673.76";="Um excelente smartphone silencioso da categoria Eletronicos, ideal para suas necessidades.";="4";="Eletronicos";="Descricao para a categoria Eletronicos";="Como Neurociencia Explica o Cotidiano";="Uma analise sobre o tema Como Neurociencia Explica o Cotidiano. Exploramos a relevancia de Neurociencia para a area de Ciencia e Fisica.";="Abagail Ullrich";="2025-08-29T21:03:29.544Z"
="Dorothea";="O Conner";="Dorothea O Conner";="dorothea.oconner";="oconner.dorothea@aol.com";="ConDo42";="true";="32710698242";="14585082019";="Dorothea O Conner LTDA";="51421257000158";="Hagenes Highway";="752";="Tiffanyton";="Missouri";="50719818";="Cuba";="2529551647828953";="11/27";="Webcam Full HD Potente";="4364.93";="Um excelente webcam full hd potente da categoria Acessorios, ideal para suas necessidades.";="91";="Acessorios";="Descricao para a categoria Acessorios";="Um Futuro com Desmatamento";="Este e um artigo sobre Um Futuro com Desmatamento. O foco principal e em Desmatamento no campo da Meio Ambiente.";="Dorothea O Conner";="2025-08-29T21:03:31.552Z"
="Filomena";="Jacobs";="Filomena Jacobs";="filomena.jacobs";="jacobs.filomena@fastmail.com";="JacFi95";="true";="38745884595";="13026658025";="Filomena Jacobs LTDA";="10248136000179";="Wolf Hills";="2454";="Georgianaport";="Wyoming";="23279667";="Georgia";="4485941707999729";="12/27";="Smartwatch RGB";="2299.23";="Um excelente smartwatch rgb da categoria Audio e Video, ideal para suas necessidades.";="74";="Audio e Video";="Descricao para a categoria Audio e Video";="Dicas para Viajar para Japao";="Este e um artigo sobre Dicas para Viajar para Japao. O foco principal e em Japao no campo da Viagens e Turismo.";="Filomena Jacobs";="2025-08-29T21:03:32.560Z"
="Easter";="Bailey";="Easter Bailey";="easter.bailey";="bailey.easter@ig.com.br";="BaiEa00";="true";="43235881000";="12235430188";="Easter Bailey LTDA";="64021830000188";="Monahan Alley";="49097";="New Madelynn";="Wisconsin";="20665446";="Gabon";="4024007142626927";="12/25";="Console de Videogame Potente";="1082.12";="Um excelente console de videogame potente da categoria Dispositivos Moveis, ideal para suas necessidades.";="79";="Dispositivos Moveis";="Descricao para a categoria Dispositivos Moveis";="Solucoes Sustentaveis para Consumo Consciente";="Introducao ao topico Solucoes Sustentaveis para Consumo Consciente. Discutimos os conceitos basicos de Consumo Consciente aplicados a Meio Ambiente.";="Easter Bailey";="2025-08-29T21:03:33.763Z"
="Iliana";="Pacocha";="Iliana Pacocha";="iliana.pacocha";="pacocha.iliana@gmail.com";="PacIl00";="true";="18180882900";="12726610641";="Iliana Pacocha LTDA";="91063385000191";="Maxine Terrace";="9248";="Rileyhaven";="Michigan";="91712699";="Cameroon";="2221829249183766";="11/26";="SSD Externo Ergonomica";="4068.52";="Um excelente ssd externo ergonomica da categoria Perifericos, ideal para suas necessidades.";="66";="Perifericos";="Descricao para a categoria Perifericos";="O Futuro do Blockchain";="Este e um artigo sobre O Futuro do Blockchain. O foco principal e em Blockchain no campo da Tecnologia.";="Iliana Pacocha";="2025-08-29T21:03:34.912Z"
="Adela";="Jast";="Adela Jast";="adela.jast";="jast.adela@yahoo.com";="JasAd57";="true";="73271982457";="18064405412";="Adela Jast LTDA";="52367066000118";="Kuhlman Isle";="85933";="Douglasburgh";="Mississippi";="57227580";="Bangladesh";="4532885291607235";="05/26";="Soundbar Premium";="1702.68";="Um excelente soundbar premium da categoria Redes e Conectividade, ideal para suas necessidades.";="44";="Redes e Conectividade";="Descricao para a categoria Redes e Conectividade";="Os Beneficios da Atividade Fisica";="Este e um artigo sobre Os Beneficios da Atividade Fisica. O foco principal e em Atividade Fisica no campo da Saude e Bem-Estar.";="Adela Jast";="2025-08-29T21:03:36.217Z"
="Enrique";="Swaniawski";="Enrique Swaniawski";="enrique.swaniawski";="swaniawski.enrique@yandex.com";="SwaEn67";="true";="67988898167";="16803972686";="Enrique Swaniawski LTDA";="43017484000194";="Simonis Route";="44554";="Labadietown";="Missouri";="75588673";="Swaziland";="6011172881342662";="08/27";="Mesa Digitalizadora Ultra-fino";="2710.14";="Um excelente mesa digitalizadora ultra-fino da categoria Redes e Conectividade, ideal para suas necessidades.";="90";="Redes e Conectividade";="Descricao para a categoria Redes e Conectividade";="5 Tendencias em Blockchain";="Introducao ao topico 5 Tendencias em Blockchain. Discutimos os conceitos basicos de Blockchain aplicados a Tecnologia.";="Enrique Swaniawski";="2025-08-29T21:03:37.169Z"
="Zander";="Greenholt";="Zander Greenholt";="zander.greenholt";="greenholt.zander@bol.com.br";="GreZa34";="true";="18449395534";="14409202724";="Zander Greenholt LTDA";="91479394000168";="Waelchi Hollow";="3692";="New Walterview";="South Dakota";="95970419";="Montenegro";="4878117421550743";="06/27";="Teclado Mecanico Customizavel";="4236.93";="Um excelente teclado mecanico customizavel da categoria Energia, ideal para suas necessidades.";="82";="Energia";="Descricao para a categoria Energia";="Analise Tatica do Formula 1";="Este e um artigo sobre Analise Tatica do Formula 1. O foco principal e em Formula 1 no campo da Esportes.";="Zander Greenholt";="2025-08-29T21:03:38.199Z"
="Daron";="Gleichner";="Daron Gleichner";="daron.gleichner";="gleichner.daron@icloud.com";="GleDa26";="true";="75665665126";="17653368839";="Daron Gleichner LTDA";="39626649000158";="Simonis Square";="8986";="West Pedrofurt";="New Jersey";="77717808";="Cambodia";="6011270610301668";="03/28";="Gabinete ATX Ergonomica";="2199.54";="Um excelente gabinete atx ergonomica da categoria Eletronicos, ideal para suas necessidades.";="26";="Eletronicos";="Descricao para a categoria Eletronicos";="Uma Introducao a Leis de Newton";="Este e um artigo sobre Uma Introducao a Leis de Newton. O foco principal e em Leis de Newton no campo da Ciencia e Fisica.";="Daron Gleichner";="2025-08-29T21:03:39.169Z"
="Arthur";="Robel";="Arthur Robel";="arthur.robel";="robel.arthur@zoho.com";="RobAr65";="true";="42308199865";="12136747050";="Arthur Robel LTDA";="03302574000102";="Dario Crescent";="3512";="Michaelafort";="Alabama";="41806280";="Christmas Island";="346456928413886";="07/28";="HD Externo Versatil";="2338.32";="Um excelente hd externo versatil da categoria Casa Inteligente, ideal para suas necessidades.";="1";="Casa Inteligente";="Descricao para a categoria Casa Inteligente";="Os Maiores Momentos do Tenis";="Uma analise sobre o tema Os Maiores Momentos do Tenis. Exploramos a relevancia de Tenis para a area de Esportes.";="Arthur Robel";="2025-08-29T21:03:40.169Z"
="Lee";="Dare";="Lee Dare";="lee.dare";="dare.lee@terra.com.br";="DarLe50";="true";="26151922050";="16268422636";="Lee Dare LTDA";="54810795000122";="Monserrat Motorway";="5326";="North Jacinthemouth";="Nevada";="11296698";="Ethiopia";="379336791026231";="07/28";="Microfone Condensador Resistente";="3565.28";="Um excelente microfone condensador resistente da categoria Casa Inteligente, ideal para suas necessidades.";="68";="Casa Inteligente";="Descricao para a categoria Casa Inteligente";="O Impacto Cultural de Universo Marvel";="Este e um artigo sobre O Impacto Cultural de Universo Marvel. O foco principal e em Universo Marvel no campo da Cultura Pop.";="Lee Dare";="2025-08-29T21:03:41.200Z"
="Fred";="Grimes";="Fred Grimes";="fred.grimes";="grimes.fred@ig.com.br";="GriFr71";="true";="80905704371";="17868830289";="Fred Grimes LTDA";="23262149000144";="Wilmer Coves";="995";="South Abner";="Alaska";="31587814";="Guam";="4024007178989611";="07/27";="Processador Compacto";="2731.43";="Um excelente processador compacto da categoria Fotografia, ideal para suas necessidades.";="89";="Fotografia";="Descricao para a categoria Fotografia";="10 Dicas para Melhorar sua Saude Mental";="Introducao ao topico 10 Dicas para Melhorar sua Saude Mental. Discutimos os conceitos basicos de Saude Mental aplicados a Saude e Bem-Estar.";="Fred Grimes";="2025-08-29T21:03:42.262Z"
="Isabell";="Gleichner";="Isabell Gleichner";="isabell.gleichner";="gleichner.isabell@icloud.com";="GleIs74";="true";="60188700374";="12604048041";="Isabell Gleichner LTDA";="12153147000109";="Nader Street";="329";="New Gwendolynshire";="Massachusetts";="32352781";="Turks and Caicos Islands";="4485430437768877";="12/26";="Notebook Veloz";="194.59";="Um excelente notebook veloz da categoria Dispositivos Moveis, ideal para suas necessidades.";="27";="Dispositivos Moveis";="Descricao para a categoria Dispositivos Moveis";="O que Fazer em Patagonia";="Introducao ao topico O que Fazer em Patagonia. Discutimos os conceitos basicos de Patagonia aplicados a Viagens e Turismo.";="Isabell Gleichner";="2025-08-29T21:03:43.246Z"
="Clotilde";="Romaguera";="Clotilde Romaguera";="clotilde.romaguera";="romaguera.clotilde@fastmail.com";="RomCl83";="true";="01752327683";="15416353869";="Clotilde Romaguera LTDA";="91112409000155";="Hudson Locks";="72654";="East Robinmouth";="South Carolina";="04626603";="Austria";="2447832832967015";="12/27";="Mouse Gamer Compacto";="1955.06";="Um excelente mouse gamer compacto da categoria Redes e Conectividade, ideal para suas necessidades.";="56";="Redes e Conectividade";="Descricao para a categoria Redes e Conectividade";="O Papel da STEAM";="Este e um artigo sobre O Papel da STEAM. O foco principal e em STEAM no campo da Educacao.";="Clotilde Romaguera";="2025-08-29T21:03:44.281Z"
="Lesley";="O Keefe";="Lesley O Keefe";="lesley.okeefe";="okeefe.lesley@fastmail.com";="KeeLe55";="true";="30983391955";="16198132374";="Lesley O Keefe LTDA";="61383992000178";="Fritsch Burgs";="33103";="Fredrickville";="Mississippi";="38614238";="Swaziland";="2221872372825803";="10/25";="Mesa Digitalizadora Moderno";="4795.19";="Um excelente mesa digitalizadora moderno da categoria Acessorios, ideal para suas necessidades.";="8";="Acessorios";="Descricao para a categoria Acessorios";="Como Revolucao Industrial Mudou a Historia";="Este e um artigo sobre Como Revolucao Industrial Mudou a Historia. O foco principal e em Revolucao Industrial no campo da Historia.";="Lesley O Keefe";="2025-08-29T21:03:45.264Z"
